path,type,expected_status,actual_status,expected_location,actual_location,issue
"/","page","200","200","","",""
"/examenstof/","page","200","200","","",""
"/kerndoelen/","page","200","200","","",""
"/begrippen/","page","200","200","","",""
"/planning/","page","200","200","","",""
"/examenstof/amv-kerndoel1/","page","200","200","","",""
"/examenstof/criminaliteitenrechtsstaat-kerndoel1/","page","200","200","","",""
"/category/amv/","page","200","200","","",""
"/kerndoel-tags/leerjaar-3/","page","200","200","","",""
"/sitemap-index.xml","page","200","404","","","status:404"
"/begrippen/tweede-kamer/","redirect","301","301","https://schoolwoorden.nl/begrip/tweede-kamer/","https://schoolwoorden.nl/begrip/tweede-kamer/",""
"/begrippen/parlement/","redirect","301","301","https://schoolwoorden.nl/begrip/parlement/","https://schoolwoorden.nl/begrip/parlement/",""
"/begrippen/reageerakkoord/","redirect","301","301","https://schoolwoorden.nl/begrip/regeerakkoord/","https://schoolwoorden.nl/begrip/regeerakkoord/",""
"/politiekenbeleid-kerndoel1-1/","redirect","301","301","https://maatschappijkunde.nl/examenstof/politiekenbeleid-kerndoel1-1/","https://maatschappijkunde.nl/examenstof/politiekenbeleid-kerndoel1-1/",""
"/amv-kerndoel1/","redirect","301","301","https://maatschappijkunde.nl/examenstof/amv-kerndoel1/","https://maatschappijkunde.nl/examenstof/amv-kerndoel1/",""
"/ciminaliteitenrechtsstaat-kerndoel1/","redirect","301","404","https://maatschappijkunde.nl/examenstof/criminaliteitenrechtsstaat-kerndoel1/","","status:404;location:missing"
